TDA,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore
allaying,-0.01897974075361807,-0.04949426979655121,-0.026418026097455027,-0.025868911895737118,-0.014012834253260692
alleviating,-0.018951172831544117,-0.04941198903040676,-0.02625573270659869,-0.025868365390062934,-0.014012331148999772
alleviative,-0.018979981833129243,-0.0494946507260241,-0.026423184567091047,-0.025868911895737118,-0.014012834253260692
allicient,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
allocryptic,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
allosematic,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
alluring,-0.015110655678809084,0.13449428468032246,0.09460225079840369,0.11075750664997543,0.04600031687081182
almighty,-0.017497342839417777,-0.035095516650744805,-0.017386140972818074,-0.021619830278965458,-0.009003353255239311
alone,0.03297265282456509,0.1588737709453456,0.06384983566058923,0.5875837073745122,0.10385730687665418
aloof,-0.01693080598816218,0.09716319633700576,0.014149964744314887,-0.025868911895737118,-0.012359777395950912
alterable,-0.01897781211752869,-0.049385323967304384,-0.02638161920598542,-0.02578147098786786,-0.014012834253260692
altercating,-0.018979981833129243,-0.04949388886707832,-0.02642278776173443,-0.025868911895737118,-0.014012834253260692
altercative,-0.018979981833129243,-0.0494946507260241,-0.0264232837684302,-0.025868843582527844,-0.014012762381223419
altered,-0.01418249956079459,-0.01841080573811959,-0.004797491034144992,-0.015075424830625826,-0.009276466996881796
altiloquent,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
altisonant,-0.01895503010372288,-0.049492746078659645,-0.0264232837684302,-0.02586877526931857,-0.014012690509186144
altitudinarian,-0.018979981833129243,-0.04949426979655121,-0.026423382969769357,-0.025868843582527844,-0.014012834253260692
altruistic,0.030682397468425427,0.1615402772555825,-0.023010856902863492,-0.025287566484825108,-0.013690128805898913
amain,-0.018675016251495907,-0.046546256605847866,-0.025183366230341352,-0.02533538573131611,-0.013663536152107409
amative,-0.018935502663317897,-0.04439019578928488,-0.017167898026678743,-0.024523141673061848,-0.011511687356113718
amatory,-0.018897773719819388,-0.03635258391128506,-0.012832799505638448,-0.007014466136428785,-0.014012834253260692
amazed,-0.014544118827553484,0.08611624162316715,0.019903642415260818,-0.006263020834427367,-0.008931481217964972
amazing,0.8838627875082408,3.7521814887260234,0.5985450537019439,0.5042415920616276,0.27706891670780953
ambagious,-0.018979861293373656,-0.04949426979655121,-0.026423382969769357,-0.025868843582527844,-0.014012834253260692
ambidextrous,-0.014676712558698412,-0.043894987474526595,0.0012537906542636605,-0.02344379296655072,-0.013056936157511993
ambiguous,-0.011651164693482338,-0.004925902397778658,-0.011146376740016365,-0.025868911895737118,-0.010059872203172084
ambitious,0.07455886850183781,0.11697152892733707,0.04609279595198023,0.001114805767041111,0.012004843240049783
ambivalent,-0.017220101401569293,-0.036504955700441453,-0.02213788511830618,-0.025475427810325465,-0.013539916247995547
ambling,-0.018761804875518043,-0.047327162025274386,-0.025401609176480683,-0.025483625395438206,-0.013751938757954845
ameliorative,-0.018974316464616683,-0.04949388886707832,-0.026408601970235375,-0.025868706956109298,-0.014012403021037047
amenable,-0.01814102513424861,-0.0482985321811464,-0.02587182352407178,-0.024352358649879707,-0.01352194823867696
amending,-0.018952378229099977,-0.04936399191682249,-0.026359199703336562,-0.025768491478106018,-0.014012762381223419
